#|Network Id|Vault Name|Vault Address|Strategy Address|Strategy Name|Display Name|Audit|Code Review|Complexity|Longevity|Protocol Safety|Team Knowledge|Testing|Decimal Risk Score|Status|Current TVL|Available TVL|Current Amount|Available Amount
133|1|Curve tBTC Factory yVault|0x04D549bAfE83B8BdCCC8dF38F15b90199D20f1eE|0xC3302D155Dddd2E0C642CC7107AE737d048C14b4|StrategyCurveBoostedFactory-TBTCSBTC23CRV-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
134|1|Curve BTRFLY-ETH Factory yVault|0x3221BFBE308144f19089CB197b7C11c2Bf495906|0x8881B46FaEdED691893Be75014Dcb31638BF300F|StrategyCurveBoostedFactory-BTRFLYETH-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
135|1|Curve ibEUR-USDC Factory yVault|0x9F8B5c0fc18B79DdFc05b21c43da7E324Cf3B8Eb|0xC18207Dc4dbc366a8Fed62e438C173C47E57f096|StrategyCurveBoostedFactory-ibEURUSDC-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
136|1|Curve msUSD-FRAXBP Factory yVault|0xDb26d8815EdA864Dfa43306766f2F8CA50C03F9E|0xa78d68C30BCB3D3Bbc369bA652adBfA4Ea1bE52E|StrategyCurveBoostedFactory-msUSDFRAX3CRV-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
137|1|Curve MATIC-ETH Factory yVault|0x63c5c0604Ec410130C69C958aCab81794f7a622F|0x652f4684102d9bbd3ffA4668b4Bb5A509ECA5425|StrategyCurveBoostedFactory-ETH MATIC-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
138|1|Curve DYDX-ETH Factory yVault|0xca46d6e44499AfbD8795f8F86910F068a6bF1a7c|0xf65B3981127c3dD59798bC54dFED0205C5E9c686|StrategyCurveBoostedFactory-DYDXETH-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
139|1|Curve FXS-ETH Factory yVault|0xE6570a24Ce63dD588195B98aAD9F91B121d5F3D7|0x31493C63D1cB8B661f2313162729D49C06CB54D1|StrategyCurveBoostedFactory-FXSETH-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
140|1|Curve ibKRW Factory yVault|0x5359680A80c1FB2175cD33efF32f762e43cD8C41|0x8974c71B9B6F865F310F85E68aB8EeAF66Dd62B9|StrategyCurveBoostedFactory-ibKRW+sKRW-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
141|1|Curve ibGBP Factory yVault|0xbE4afE6737CCf34cA21cdeF461E5C7547Adc8C77|0x15BA66d9A0Df19c7518D2E2b43129Ffd39D2F7Ed|StrategyCurveBoostedFactory-ibGBP+sGBP-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
142|1|Curve ibCHF Factory yVault|0x72FaEA467BD88db6720A861e56A3a72B4Aa579DF|0x8f4DCaD74e1a57CC51F83F60acaAf9Ab68Ec0bf7|StrategyCurveBoostedFactory-ibCHF+sCHF-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
143|1|wstETH yVault|0xC1f3C276Bf73396C020E8354bcA581846171649d|0x179e7F502D3b410955d1A7D2047058F70Fb812AF|StrategyLenderYieldOptimiser|Aave Optimizer|4|3|3|1|2|3|3|4398811235|Yellow|55469019.43|-45469019.43|12736538.65|-27331.54
144|1|Curve STG-FRAXBP Factory yVault|0x98fA691998a9e6f410702dEA8BC08a9d500AaAFe|0x3c215283232c99F493c31671De215f1C1a3030D9|StrategyCurveBoostedFactory-STG/FRAXBP-f|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
145|1|Curve T-ETH Factory yVault|0xd6b2f4F0586BCfc9B1bf5cD8E22546aDD7B81a64|0xE8Ac0Cd3D4274141BBdA2f1d929174137Bdb3789|StrategyCurveBoostedFactory-crvTETH|Curve Boost|5|2|2|2|2|1|3|5437982755|Yellow|86218646.88|-36218646.88|465080410.76|-6352473.53
